City;Quality of Life Index;Purchasing Power Index;Safety Index;Health Care Index;Cost of Living Index;Property Price to Income Ratio;Traffic Commute Time Index;Pollution Index;Climate Index
The Hague (Den Haag), Netherlands;217.3;124.3;79.7;80.1;59.6;5.5;22.0;18.2;90.6
Munich, Germany;186.7;109.7;79.0;76.7;66.7;13.4;30.9;25.8;76.0
Ljubljana, Slovenia;171.0;66.0;78.6;67.2;53.2;13.2;26.1;23.1;76.1
Zagreb, Croatia;161.2;62.8;78.3;64.5;49.7;13.8;30.3;33.6;82.2
Eindhoven, Netherlands;206.9;114.5;77.8;78.0;64.4;5.9;24.1;19.6;85.4
Zurich, Switzerland;185.7;132.7;77.8;70.0;118.3;13.6;41.1;23.2;81.5
Cluj-Napoca, Romania;151.6;56.9;77.4;65.7;41.6;12.7;29.3;44.0;74.3
Tallinn, Estonia;178.7;73.1;77.1;75.4;55.6;10.3;24.6;18.7;64.3
Reykjavik, Iceland;182.9;81.2;75.7;68.0;88.5;7.7;21.9;15.0;68.8
Prague, Czech Republic;158.7;65.0;75.5;74.5;51.5;18.3;31.9;33.6;80.7
Helsinki, Finland;189.8;94.0;75.3;79.8;69.4;10.1;25.7;12.6;62.8
Timisoara, Romania;151.2;54.2;74.3;71.2;38.7;10.2;23.9;56.2;82.0
Brno, Czech Republic;165.8;76.5;74.0;75.7;44.8;13.7;26.2;40.3;78.2
Copenhagen, Denmark;187.3;95.1;73.8;76.6;79.0;9.0;28.6;22.6;83.7
Warsaw, Poland;138.5;73.0;73.8;58.2;46.0;12.5;35.5;61.3;74.6
Madrid, Spain;182.7;86.4;73.2;79.9;52.7;7.4;25.2;35.4;85.5
Krakow (Cracow), Poland;132.7;73.8;73.2;54.6;44.8;11.5;32.6;71.6;73.9
Vilnius, Lithuania;166.2;64.1;72.6;75.6;50.2;13.1;26.4;25.2;66.6
Nizhny Novgorod, Russia;144.0;43.4;71.9;73.4;29.0;14.6;27.4;33.8;45.5
Bucharest, Romania;121.6;58.0;71.9;54.8;41.3;10.0;40.8;75.1;75.6
Rotterdam, Netherlands;203.7;116.4;71.6;80.2;61.9;5.7;23.4;24.7;87.9
Amsterdam, Netherlands;185.8;90.0;71.5;78.0;69.9;10.6;24.2;24.9;87.5
Wroclaw, Poland;134.6;69.0;71.4;54.5;43.1;11.2;35.6;65.1;78.4
Luxembourg, Luxembourg;205.5;135.2;71.1;77.8;65.2;9.9;26.6;19.6;82.6
Vienna, Austria;189.1;93.4;70.3;79.0;66.2;12.5;23.0;17.5;81.8
Valencia, Spain;199.2;94.5;70.2;79.9;45.1;4.3;23.7;24.6;93.8
Lisbon, Portugal;150.5;42.3;70.0;73.5;51.1;18.2;34.2;34.9;98.6
Split, Croatia;174.5;59.1;69.6;74.2;45.1;15.7;18.2;24.7;96.3
Bratislava, Slovakia;147.1;60.9;69.5;55.8;52.0;15.8;30.5;37.5;80.7
Geneva, Switzerland;180.2;112.2;69.4;72.0;109.8;13.5;28.7;25.4;82.6
Edinburgh, United Kingdom;177.5;85.3;68.8;78.2;69.7;8.8;30.7;28.7;84.0
Poznan, Poland;134.5;70.5;68.5;50.0;42.1;9.8;34.3;63.8;77.4
Porto, Portugal;182.0;61.5;68.2;79.5;45.6;7.7;24.0;24.7;96.6
Oslo, Norway;177.9;99.1;66.8;78.1;80.0;9.9;28.1;21.7;60.0
Gdansk, Poland;142.8;77.6;66.0;50.3;42.8;12.1;30.3;52.4;75.5
Budapest, Hungary;127.0;54.2;65.6;52.2;46.8;14.2;39.0;54.1;78.4
